site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1560592765,6/15/2019,ADNOC-AD57,Muzayri,54,22,291279,800,45.67,998.29,8,45.67,45.67,5.8,348.901,0,,0.0039,1560562724,1560611407,clear sky,Clear,01d
1560801563,6/17/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.95,999.11,25,35.95,35.95,7.48,338.473,0,,0.0055,1560735538,1560784241,clear sky,Clear,01n
1560805162,6/18/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.95,999.11,25,35.95,35.95,7.48,338.473,0,,0.0062,1560821947,1560870657,clear sky,Clear,01n
1560808764,6/18/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.95,999.11,25,35.95,35.95,7.48,338.473,0,,0.0065,1560821947,1560870657,clear sky,Clear,01n
1560956357,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,38.55,998.51,12,38.55,38.55,11.69,318.478,0,,0.0057,1560908357,1560957072,clear sky,Clear,01d
1560959956,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,38.55,998.51,12,38.55,38.55,11.69,318.478,0,,0.0062,1560908357,1560957072,clear sky,Clear,01n
1560952756,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,38.55,998.51,12,38.55,38.55,11.69,318.478,0,,0.007,1560908357,1560957072,clear sky,Clear,01d
1560974355,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,31.65,998.59,33,31.65,31.65,5.43,324.399,0,,0.007,1560908357,1560957072,clear sky,Clear,01n
1560913156,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,34.35,999.24,32,34.35,34.35,7.49,336.723,0,,0.0055,1560908357,1560957072,clear sky,Clear,01d
1560909555,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,34.35,999.24,32,34.35,34.35,7.49,336.723,0,,0.0057,1560908357,1560957072,clear sky,Clear,01d
1560916756,6/19/2019,ADNOC-AD57,Muzayri,54,22,291279,800,34.35,999.24,32,34.35,34.35,7.49,336.723,0,,0.0068,1560908357,1560957072,clear sky,Clear,01d
1561035558,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,40.05,996.56,14,40.05,40.05,11.75,327.589,0,,0.0062,1560994767,1561043486,clear sky,Clear,01d
1561031957,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,40.05,996.56,14,40.05,40.05,11.75,327.589,0,,0.0079,1560994767,1561043486,clear sky,Clear,01d
1561028361,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,40.15,996.9,14,40.15,40.15,11.4,328.807,0,,0.0058,1560994767,1561043486,clear sky,Clear,01d
1560981558,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,31.65,998.59,33,31.65,31.65,5.43,324.399,0,,0.0058,1560994767,1561043486,clear sky,Clear,01n
1560977956,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,31.65,998.59,33,31.65,31.65,5.43,324.399,0,,0.0062,1560994767,1561043486,clear sky,Clear,01n
1561039159,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.1,998.47,23,35.1,35.1,8.43,326.632,0,,0.0062,1560994767,1561043486,clear sky,Clear,01d
1561046358,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.1,998.47,23,35.1,35.1,8.43,326.632,0,,0.0076,1560994767,1561043486,clear sky,Clear,01n
1561042757,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,35.1,998.47,23,35.1,35.1,8.43,326.632,0,,0.0205,1560994767,1561043486,clear sky,Clear,01d
1561049957,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,30.55,999.42,46,30.55,30.55,6.89,320.804,0,,0.0055,1560994767,1561043486,clear sky,Clear,01n
1561053559,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,30.55,999.42,46,30.55,30.55,6.89,320.804,0,,0.0079,1560994767,1561043486,clear sky,Clear,01n
1561017562,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,41.45,998.83,11,41.45,41.45,12.05,334.43,0,,0.0054,1560994767,1561043486,clear sky,Clear,01d
1561021158,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,41.45,998.83,11,41.45,41.45,12.05,334.43,0,,0.0057,1560994767,1561043486,clear sky,Clear,01d
1561024757,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,41.45,998.83,11,41.45,41.45,12.05,334.43,0,,0.0073,1560994767,1561043486,clear sky,Clear,01d
1561057158,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,30.83,999.49,46,30.83,30.83,7.37,320.249,0,,0.0052,1560994767,1561043486,clear sky,Clear,01n
1561060758,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,29.5,999.37,54,29.5,29.5,5.26,333.635,0,,0.0067,1560994767,1561043486,clear sky,Clear,01n
1561003157,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,32.02,999.59,40,32.02,32.02,7.99,326.348,0,,0.0059,1560994767,1561043486,clear sky,Clear,01d
1560995957,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,32.02,999.59,40,32.02,32.02,7.99,326.348,0,,0.0062,1560994767,1561043486,clear sky,Clear,01d
1560999559,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,32.02,999.59,40,32.02,32.02,7.99,326.348,0,,0.0062,1560994767,1561043486,clear sky,Clear,01d
1561006757,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,39.16,999.98,15,39.16,39.16,12.64,335.749,0,,0.0049,1560994767,1561043486,clear sky,Clear,01d
1561010364,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,39.16,999.98,15,39.16,39.16,12.64,335.749,0,,0.006,1560994767,1561043486,clear sky,Clear,01d
1561013964,6/20/2019,ADNOC-AD57,Muzayri,54,22,291279,800,39.11,1000.03,14,39.11,39.11,12.17,334.113,0,,0.0065,1560994767,1561043486,clear sky,Clear,01d
1561114763,6/21/2019,ADNOC-AD57,Muzayri,54,22,291279,800,42.07,997.14,20,42.07,42.07,6.89,333.658,0,,0.0091,1561081178,1561129899,clear sky,Clear,01d
