ds,yhat,Actuals,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
8/1/2018,37308582.53,,36267042.24,28882478.83,46374890.16,36267042.24,36267042.24,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,0,0,0
8/2/2018,36893228.31,,36350216.54,27560674.24,45740367.4,36350216.54,36350216.54,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,0,0,0
8/3/2018,32268070.97,,36433390.84,23269284.49,40838674.22,36433390.84,36433390.84,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,0,0,0
8/4/2018,36095446.51,,36516565.13,27274845.59,45155295.4,36516565.13,36516565.13,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,0,0,0
8/5/2018,36360241.41,,36599739.43,27423262.35,45833048.29,36599739.43,36599739.43,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,0,0,0
8/7/2018,38748369.41,,36766088.03,30203545.23,47588983.48,36766088.03,36766088.03,1982281.376,1982281.376,1982281.376,1982281.376,1982281.376,1982281.376,0,0,0
8/8/2018,37890802.62,,36849262.33,28697817.41,46761293.62,36849262.33,36849262.33,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,0,0,0
8/9/2018,37475448.4,,36932436.63,28034081.23,46077867.49,36932436.63,36932436.63,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,0,0,0
8/10/2018,32850291.06,,37015610.92,23282939.25,42440067,37015610.92,37015610.92,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,0,0,0
8/11/2018,36677666.6,,37098785.22,27787076,46210258.87,37098785.22,37098785.22,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,0,0,0
8/12/2018,36942461.5,,37181959.52,27870510.78,45878305.96,37181959.52,37181959.52,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,0,0,0
8/13/2018,38524236.88,,37265133.82,29994166.63,47832168.82,37265133.82,37265133.82,1259103.064,1259103.064,1259103.064,1259103.064,1259103.064,1259103.064,0,0,0
8/14/2018,39330589.49,,37348308.12,30213524.23,47811608.01,37348308.12,37348308.12,1982281.376,1982281.376,1982281.376,1982281.376,1982281.376,1982281.376,0,0,0
8/15/2018,38473022.72,,37431482.43,29161185.19,48117324.58,37431482.43,37431482.43,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,1041540.295,0,0,0
8/16/2018,38057668.51,,37514656.73,28294018.97,47372127.87,37514656.73,37514656.73,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,543011.7746,0,0,0
8/17/2018,33432511.17,,37597831.04,24375335.79,42822022.99,37597831.04,37597831.04,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,-4165319.866,0,0,0
8/18/2018,37259886.73,,37681005.35,28141976.2,46617820.55,37681005.35,37681005.35,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,-421118.6196,0,0,0
8/19/2018,37524681.63,,37764179.65,28563371.97,46477649.04,37764179.65,37764179.65,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,-239498.0238,0,0,0
8/20/2018,39106457.03,,37847353.96,29510954.09,48108543.72,37847353.96,37847353.96,1259103.064,1259103.064,1259103.064,1259103.064,1259103.064,1259103.064,0,0,0
