ds,yhat,,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
8/1/2018,35835474.35,,39571097.94,27245493.49,43943656.62,39571097.94,39571097.94,-3735623.597,-3735623.597,-3735623.597,1063122.678,1063122.678,1063122.678,-4798746.275,-4798746.275,-4798746.275,0,0,0
8/2/2018,35096774.98,,39593079.17,26955870.95,42633762.34,39593079.17,39593079.17,-4496304.193,-4496304.193,-4496304.193,436186.6716,436186.6716,436186.6716,-4932490.864,-4932490.864,-4932490.864,0,0,0
8/3/2018,30483015.97,,39615060.41,22842274.15,39143751.84,39615060.41,39615060.41,-9132044.432,-9132044.432,-9132044.432,-4065031.561,-4065031.561,-4065031.561,-5067012.87,-5067012.87,-5067012.87,0,0,0
8/4/2018,33975918.84,,39637041.64,25796885.08,41824947.8,39637041.64,39637041.64,-5661122.794,-5661122.794,-5661122.794,-460832.9329,-460832.9329,-460832.9329,-5200289.861,-5200289.861,-5200289.861,0,0,0
8/5/2018,34192715.46,,39659022.87,26178208.94,41847085.83,39659022.87,39659022.87,-5466307.407,-5466307.407,-5466307.407,-136280.343,-136280.343,-136280.343,-5330027.064,-5330027.064,-5330027.064,0,0,0
8/7/2018,36324922.09,,39702985.33,27798856.89,44219639.56,39702985.33,39702985.33,-3378063.237,-3378063.237,-3378063.237,2190523.233,2190523.233,2190523.233,-5568586.47,-5568586.47,-5568586.47,0,0,0
8/8/2018,35116237.19,,39724966.56,27283057.82,42914233.81,39724966.56,39724966.56,-4608729.378,-4608729.378,-4608729.378,1063122.678,1063122.678,1063122.678,-5671852.056,-5671852.056,-5671852.056,0,0,0
8/9/2018,34422554.28,,39746947.79,26680031.8,42380658.93,39746947.79,39746947.79,-5324393.512,-5324393.512,-5324393.512,436186.6716,436186.6716,436186.6716,-5760580.183,-5760580.183,-5760580.183,0,0,0
8/10/2018,29872043.77,,39768929.03,21632979.64,38958623.49,39768929.03,39768929.03,-9896885.261,-9896885.261,-9896885.261,-4065031.561,-4065031.561,-4065031.561,-5831853.7,-5831853.7,-5831853.7,0,0,0
8/11/2018,33447255.49,,39790910.26,25154115.8,41018146.33,39790910.26,39790910.26,-6343654.772,-6343654.772,-6343654.772,-460832.9329,-460832.9329,-460832.9329,-5882821.839,-5882821.839,-5882821.839,0,0,0
