site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1560322579,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,43.46,999,7,43,45,3.6,80,0,7526,0.0049,1560302989,1560352191,clear sky,Clear,01d
1560326179,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,45,999,10,45,45,2.1,40,0,7539,0.0052,1560302989,1560352191,clear sky,Clear,01d
1560344179,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,43.24,996,12,42,44,5.1,310,0,7526,0.0052,1560302989,1560352191,clear sky,Clear,01d
1560321016,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,43.5,1000,12,43,45,3.6,50,0,7539,0.0051,1560302989,1560352191,clear sky,Clear,01d
1560351379,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,42.28,997,21,41,43,5.7,340,0,7539,0.0062,1560302989,1560352191,clear sky,Clear,01d
1560354979,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,41.29,997,22,39,43,3.6,10,0,7539,0.0077,1560302989,1560352191,clear sky,Clear,01n
1560358579,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,39.79,998,27,37,43,2.1,340,0,7539,0.0049,1560302989,1560352191,clear sky,Clear,01n
1560311889,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,33.52,999,35,32,37,4.6,110,0,7539,0.0055,1560302989,1560352191,clear sky,Clear,01d
1560362179,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,37.03,998,53,35,39,3.6,310,0,7539,0.0049,1560302989,1560352191,clear sky,Clear,01n
1560365779,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,34.51,999,59,34,35,3.6,320,0,7539,0.0052,1560302989,1560352191,clear sky,Clear,01n
1560369380,6/12/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,34.02,1000,63,33,36,2.1,340,0,7539,0.006,1560302989,1560352191,clear sky,Clear,01n
1560330048,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,44.73,998,7,42,47,3.1,NULL,0,7526,0.0059,1560302874,1560352143,clear sky,Clear,01d
1560326448,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,45.23,999,7,45,46,1,NULL,0,7526,0.0069,1560302874,1560352143,clear sky,Clear,01d
1560333649,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,44.7,997,11,44,47,5.1,NULL,0,7526,0.0099,1560302874,1560352143,clear sky,Clear,01d
1560344448,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,43.22,996,12,42,44,5.1,310,0,7526,0.0055,1560302874,1560352143,clear sky,Clear,01d
1560337247,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,43.7,996,12,42,45,6.2,300,0,7526,0.0056,1560302874,1560352143,clear sky,Clear,01d
1560340848,6/12/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,43.46,996,13,42,45,6.7,300,0,7526,0.0048,1560302874,1560352143,clear sky,Clear,01d
1560401780,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,36.76,1000,11,36,37,4.1,170,0,7539,0.0051,1560389392,1560438611,clear sky,Clear,01d
1560416180,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,44.75,1000,12,44,45,4.1,210,0,7539,0.0053,1560389392,1560438611,clear sky,Clear,01d
1560398180,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,32.45,999,17,30,36,4.6,150,0,7539,0.0058,1560389392,1560438611,clear sky,Clear,01d
1560405380,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,40,1000,20,40,40,6.7,180,0,7539,0.0052,1560389392,1560438611,clear sky,Clear,01d
1560408980,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,41.48,1000,20,40,43,7.2,170,0,7539,0.005,1560389392,1560438611,clear sky,Clear,01d
1560452180,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,36.27,999,36,35,39,1.5,340,0,7539,0.0048,1560389392,1560438611,clear sky,Clear,01n
1560448580,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,37.03,999,41,35,40,2.1,320,0,7539,0.005,1560389392,1560438611,clear sky,Clear,01n
1560394580,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,30.28,998,61,28,35,3.1,120,0,7539,0.0049,1560389392,1560438611,clear sky,Clear,01d
1560372979,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,33.01,999,62,32,36,2.1,10,0,7539,0.0048,1560389392,1560438611,clear sky,Clear,01n
1560390979,6/13/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,30.52,998,69,28,35,2.6,70,0,7539,0.0058,1560389392,1560438611,clear sky,Clear,01d
1560416450,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,44.75,999,7,44,45,4.1,200,0,7526,0.0056,1560389277,1560438564,clear sky,Clear,01d
1560412850,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,43.73,999,9,43,45,3.6,200,0,7526,0.0062,1560389277,1560438564,clear sky,Clear,01d
1560420051,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,43.75,998,17,42,45,5.7,290,0,7526,0.0053,1560389277,1560438564,clear sky,Clear,01d
1560402049,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,36.97,1000,17,36,38,4.6,180,0,7526,0.0057,1560389277,1560438564,clear sky,Clear,01d
1560423649,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,42.47,997,20,42,44,5.7,290,0,7526,0.0061,1560389277,1560438564,clear sky,Clear,01d
1560427249,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,41.23,997,23,41,42,6.7,300,0,7526,0.0052,1560389277,1560438564,clear sky,Clear,01d
1560398449,6/13/2019,BCCDM-PortSaeedSite01,A? ?uw?r,55,25,412578,800,33.45,999,47,32,36,2.1,150,0,7526,0.0062,1560389277,1560438564,clear sky,Clear,01d
1560502581,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,42.21,999,15,40,45,6.7,230,0,7539,0.0045,1560475796,1560525031,clear sky,Clear,01d
1560498981,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,42.02,1000,18,41,43,6.7,210,0,7539,0.0047,1560475796,1560525031,clear sky,Clear,01d
1560495382,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,40.02,1000,20,39,41,6.2,200,0,7539,0.0049,1560475796,1560525031,clear sky,Clear,01d
1560516981,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,39.22,997,28,38,40,7.7,290,0,7539,0.0052,1560475796,1560525031,clear sky,Clear,01d
1560520581,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,38.75,997,42,38,40,7.2,300,0,7539,0.0053,1560475796,1560525031,clear sky,Clear,01d
1560524182,6/14/2019,BCCDM-Mafraqsite05,Dubayy,55,25,292224,800,37.51,998,44,37,38,6.2,310,0,7539,0.0045,1560475796,1560525031,clear sky,Clear,01d
