ds,y
8/1/2018,34700000
8/2/2018,34845968
8/3/2018,31588626
8/4/2018,31967814
8/5/2018,31754794
8/7/2018,31147056
8/8/2018,30919304
8/9/2018,33055430
8/10/2018,29557552
8/11/2018,30162980
8/12/2018,30831654
8/13/2018,59315232
8/14/2018,32204348
8/15/2018,34030212
8/16/2018,31958608
8/17/2018,29347326
8/18/2018,31048188
8/19/2018,33416330
8/20/2018,31395126
8/21/2018,57836452
8/22/2018,28200012
8/23/2018,30180330
8/24/2018,30868930
8/25/2018,32057934
8/26/2018,32650156
8/27/2018,31224576
8/28/2018,32353530
8/29/2018,65075552
8/30/2018,32521424
8/31/2018,30306362
9/1/2018,34519840
9/2/2018,37460256
9/3/2018,36177172
9/4/2018,72909528
9/5/2018,36474692
9/6/2018,73656472
9/7/2018,33045406
9/8/2018,37313864
9/9/2018,38118336
9/10/2018,38330216
9/11/2018,37383436
9/12/2018,38587732
9/13/2018,38626260
9/14/2018,36057244
9/15/2018,38664620
9/16/2018,38777176
9/17/2018,37509844
9/18/2018,35240296
9/19/2018,35944424
9/20/2018,37228940
9/21/2018,34736688
9/22/2018,38929012
9/23/2018,39776332
9/24/2018,40834856
9/25/2018,39192884
9/26/2018,37773796
9/27/2018,37764256
9/28/2018,34184956
9/29/2018,35414040
9/30/2018,35698876
10/1/2018,38506480
10/2/2018,38893708
10/3/2018,40070048
10/4/2018,40793432
10/5/2018,36297636
10/6/2018,38747308
10/7/2018,40290172
10/8/2018,39138888
10/9/2018,39668172
10/10/2018,19551646
10/11/2018,36564648
10/12/2018,34817456
10/13/2018,78426528
10/14/2018,40929116
10/15/2018,41902904
10/17/2018,42972952
10/18/2018,41679324
10/19/2018,37277676
10/20/2018,39053476
10/21/2018,39712788
10/22/2018,82692632
10/23/2018,83403576
10/24/2018,81987080
10/25/2018,41514416
10/26/2018,36536136
10/27/2018,39167888
10/28/2018,46670372
10/29/2018,42743816
10/31/2018,81615120
11/1/2018,44097532
11/7/2018,45862004
11/8/2018,43968668
11/9/2018,40514144
11/10/2018,44770176
11/11/2018,46157556
11/12/2018,44718800
11/13/2018,45375208
11/14/2018,46560948
11/15/2018,45271112
11/16/2018,39682156
11/17/2018,42843656
11/18/2018,45067316
11/19/2018,42173996
11/20/2018,46505120
11/21/2018,45211300
11/22/2018,43502636
11/23/2018,41460652
11/24/2018,43414788
11/25/2018,47193160
11/26/2018,55674016
11/28/2018,49562636
11/29/2018,48047032
12/1/2018,52391152
12/2/2018,59719952
12/3/2018,60155120
12/4/2018,51957472
12/5/2018,51488292
12/6/2018,47442156
12/7/2018,44938260
12/8/2018,46113772
12/9/2018,47904088
12/10/2018,47135064
12/11/2018,46541652
12/12/2018,48070936
12/13/2018,45281356
12/14/2018,40786572
12/15/2018,44800352
12/16/2018,44506520
12/17/2018,43527488
12/18/2018,43050152
12/19/2018,44539228
12/20/2018,43798816
12/22/2018,42394768
12/23/2018,44128340
12/24/2018,45682544
12/25/2018,45455016
1/4/2019,38815132
1/5/2019,41306836
1/6/2019,43134180
1/7/2019,43760312
1/8/2019,44038948
1/9/2019,43423440
1/10/2019,45715296
1/11/2019,40887092
1/12/2019,41800272
1/13/2019,43617228
1/14/2019,43323880
1/15/2019,42373084
1/16/2019,45803856
1/17/2019,47797968
1/18/2019,41417164
1/19/2019,46205712
1/20/2019,46114668
1/21/2019,44003636
1/22/2019,43834328
1/29/2019,44636672
1/30/2019,41750320
1/31/2019,45288372
2/1/2019,41091592
2/2/2019,43410668
2/3/2019,49419984
2/4/2019,44181460
2/5/2019,45217416
2/6/2019,45186916
2/7/2019,45983544
2/8/2019,40903848
2/9/2019,43939820
2/10/2019,44821276
2/11/2019,44264300
2/12/2019,46277888
2/13/2019,46100320
2/14/2019,48475368
2/15/2019,39712764
2/16/2019,43711212
2/17/2019,46460940
2/18/2019,44519284
2/19/2019,46310300
2/20/2019,44665304
2/21/2019,46088680
2/22/2019,41657704
2/23/2019,43847888
2/24/2019,42936240
2/25/2019,44081964
2/26/2019,45578112
2/27/2019,47352516
2/28/2019,47221468
3/1/2019,46000752
3/2/2019,46807260
3/3/2019,48716080
3/4/2019,52148172
3/5/2019,52243228
3/6/2019,51587828
3/7/2019,51981088
3/8/2019,48832280
3/9/2019,51678304
3/10/2019,52264764
3/11/2019,53820664
3/12/2019,54012028
